Model,Accuracy,Precision,Recall,F1,CV_Mean
XGBoost,0.9921107966672463,0.9976975104331558,0.9864982371820208,0.992066268125159,0.9918380423052501
LightGBM,0.9917550710660701,0.9976799257576242,0.9858025960063872,0.9917056994489022,0.9917155140865438
Random Forest,0.9901108282872998,0.9979919678714859,0.9821979099144678,0.990031951936638,0.9900633599360829
Gradient Boosting,0.991636495865678,0.9976634392254141,0.985581255632322,0.9915855443150728,0.9914941728493389
Voting Ensemble,0.9917471660527106,0.9981900597440456,0.9852808651246621,0.9916934534228701,
